ppl,trial,n_eff,num_unique,compile_time,inference_time
stan,0,102.1043930053711,7,45.239081144332886,0.07531547546386719
stan,1,82.27816772460938,12,45.239081144332886,0.1880202293395996
stan,2,103.69566345214844,12,45.239081144332886,0.19768977165222168
stan,3,52.05134963989258,12,45.239081144332886,0.08794140815734863
stan,4,29.21854019165039,23,45.239081144332886,0.4294896125793457
stan,5,62.02393341064453,16,45.239081144332886,0.2791628837585449
stan,6,28.85418701171875,19,45.239081144332886,0.09054827690124512
stan,7,49.135589599609375,16,45.239081144332886,0.10918664932250977
stan,8,72.48837280273438,7,45.239081144332886,0.09586572647094727
stan,9,50.28738021850586,15,45.239081144332886,0.06377673149108887
